,TXNAME,GENENAME
153,ENSMUST00000001051.8,S100a6
154,ENSMUST00000001055.14,Icam2
155,ENSMUST00000001059.8,Ern1
156,ENSMUST00000001063.14,Epn2
157,ENSMUST00000001079.14,Sec24b
158,ENSMUST00000001080.15,N4bp3
159,ENSMUST00000001081.9,Rmnd5b
160,ENSMUST00000001083.3,Nhp2
161,ENSMUST00000001092.14,Zfp276
162,ENSMUST00000001108.10,Add1
163,ENSMUST00000001109.10,Mfsd10
164,ENSMUST00000001112.13,Grk4
165,ENSMUST00000001115.15,Grk6
166,ENSMUST00000001116.4,Luzp1
167,ENSMUST00000001122.5,Slc13a2
168,ENSMUST00000001125.5,Kctd10
169,ENSMUST00000001126.3,Slc46a1
170,ENSMUST00000001127.10,Poldip2
171,ENSMUST00000001130.7,Sebox
172,ENSMUST00000001147.4,Col6a1
173,ENSMUST00000001148.10,Pcbp3
174,ENSMUST00000001155.10,Araf
175,ENSMUST00000001156.7,Cfp
176,ENSMUST00000001162.9,Uxt
177,ENSMUST00000001166.13,Cnnm3
178,ENSMUST00000001171.12,Lman2l
179,ENSMUST00000001172.11,Ankrd39
180,ENSMUST00000001179.6,Pcnt
181,ENSMUST00000001181.12,Col6a2
182,ENSMUST00000001183.7,Ftcd
183,ENSMUST00000001184.9,Mxd1
184,ENSMUST00000001185.13,Gmcl1
185,ENSMUST00000001186.10,Snrnp27
186,ENSMUST00000001187.14,Anxa4
187,ENSMUST00000001202.14,Ocrl
188,ENSMUST00000001204.7,Calm1
189,ENSMUST00000001226.10,Sh3bp1
190,ENSMUST00000001240.11,Agpat3
191,ENSMUST00000001242.8,D10Jhu81e
192,ENSMUST00000001247.11,Rnf32
193,ENSMUST00000001253.7,Slc26a4
194,ENSMUST00000001254.5,Slc26a3
195,ENSMUST00000001256.10,Sema6b
196,ENSMUST00000001258.14,Uhrf1
197,ENSMUST00000001279.14,Lsr
198,ENSMUST00000001280.13,Gramd1a
199,ENSMUST00000001284.12,Usf1
200,ENSMUST00000001304.8,Ckb
201,ENSMUST00000001319.14,Efnb2
202,ENSMUST00000001326.6,Sp1
203,ENSMUST00000001327.10,Itgb7
204,ENSMUST00000001331.12,Myg1
205,ENSMUST00000001335.6,Pfdn5
206,ENSMUST00000001339.5,Rrp15
207,ENSMUST00000001347.6,Rnd2
208,ENSMUST00000001384.5,Cnn1
209,ENSMUST00000001402.13,Fbxo9
210,ENSMUST00000001412.16,Ccdc132
211,ENSMUST00000001415.8,Sra1
212,ENSMUST00000001416.7,Hars
213,ENSMUST00000001419.9,Zmat2
214,ENSMUST00000001439.6,Ube2c
215,ENSMUST00000001451.10,Smg5
216,ENSMUST00000001452.13,Cct3
217,ENSMUST00000001454.13,Glmp
218,ENSMUST00000001455.12,Mef2d
219,ENSMUST00000001456.10,Tmem79
220,ENSMUST00000001460.13,Snd1
221,ENSMUST00000001479.4,Kpnb1
222,ENSMUST00000001480.13,Npepps
223,ENSMUST00000001484.2,Tbx21
224,ENSMUST00000001485.9,Mrpl10
225,ENSMUST00000001497.8,Cideb
226,ENSMUST00000001507.4,Cyp51
227,ENSMUST00000001513.7,Tubb6
228,ENSMUST00000001520.12,Afg3l1
229,ENSMUST00000001522.9,Def8
230,ENSMUST00000001534.6,Sost
231,ENSMUST00000001536.8,Nkx2-1
232,ENSMUST00000001538.9,Pax9
233,ENSMUST00000001544.11,Vwa5a
234,ENSMUST00000001547.7,Col1a1
235,ENSMUST00000001548.13,Itga3
236,ENSMUST00000001559.10,Itfg2
237,ENSMUST00000001561.11,Nrip2
238,ENSMUST00000001562.8,Tulp3
239,ENSMUST00000001565.14,Gtf2h4
240,ENSMUST00000001566.9,Tubb5
241,ENSMUST00000001569.14,Flot1
242,ENSMUST00000001583.7,Ell2
243,ENSMUST00000001592.14,Jup
244,ENSMUST00000001595.9,Fkbp10
245,ENSMUST00000001599.3,Klhl10
246,ENSMUST00000001608.7,Mnx1
247,ENSMUST00000001611.10,Nom1
248,ENSMUST00000001619.15,Ergic1
249,ENSMUST00000001620.12,Fxr1
