,TXNAME,GENENAME
13765,ENSMUST00000066298.2,B430305J03Rik
13766,ENSMUST00000066308.8,Cfap58
13767,ENSMUST00000066316.7,4732471J01Rik
13768,ENSMUST00000066317.4,Vmn2r43
13769,ENSMUST00000066319.7,Pifo
13770,ENSMUST00000066328.4,Spinkl
13771,ENSMUST00000066330.14,Mprip
13772,ENSMUST00000066337.12,Alas2
13773,ENSMUST00000066345.14,Clec16a
13774,ENSMUST00000066352.5,Ptrh1
13775,ENSMUST00000066368.12,Mdfi
13776,ENSMUST00000066374.13,Mpp4
13777,ENSMUST00000066378.8,Gm6457
13778,ENSMUST00000066379.10,Chchd3
13779,ENSMUST00000066384.6,Zic4
13780,ENSMUST00000066386.5,Lysmd1
13781,ENSMUST00000066387.5,Rdh8
13782,ENSMUST00000066391.13,Sfi1
13783,ENSMUST00000066401.6,Ctsd
13784,ENSMUST00000066408.5,1700016K19Rik
13785,ENSMUST00000066412.7,Agtr1a
13786,ENSMUST00000066416.3,Defb38
13787,ENSMUST00000066420.11,Madd
13788,ENSMUST00000066427.10,Sp100
13789,ENSMUST00000066431.13,Camk2b
13790,ENSMUST00000066432.11,Scn3a
13791,ENSMUST00000066437.4,Fam216b
13792,ENSMUST00000066439.7,Exoc6
13793,ENSMUST00000066451.9,Lrp2bp
13794,ENSMUST00000066452.13,Camk2d
13795,ENSMUST00000066457.4,Olfr744
13796,ENSMUST00000066460.4,Bcl2a1c
13797,ENSMUST00000066461.3,Gm9922
13798,ENSMUST00000066465.2,Acsm5
13799,ENSMUST00000066466.12,Camk2d
13800,ENSMUST00000066469.13,Cope
13801,ENSMUST00000066473.11,Madd
13802,ENSMUST00000066475.10,Cers3
13803,ENSMUST00000066478.8,Ttc16
13804,ENSMUST00000066489.12,Leprel4
13805,ENSMUST00000066496.9,Nudcd3
13806,ENSMUST00000066497.11,Zfp191
13807,ENSMUST00000066498.7,Tmem255a
13808,ENSMUST00000066503.13,Ceacam2
13809,ENSMUST00000066504.10,Rph3al
13810,ENSMUST00000066509.9,Etl4
13811,ENSMUST00000066510.7,Spata31d1a
13812,ENSMUST00000066514.12,Nudt7
13813,ENSMUST00000066529.4,Npr3
13814,ENSMUST00000066530.6,Gstm2
13815,ENSMUST00000066531.12,Btnl9
13816,ENSMUST00000066532.4,Lipg
13817,ENSMUST00000066537.9,Chil5
13818,ENSMUST00000066540.13,Sds
13819,ENSMUST00000066544.4,Dnajc5g
13820,ENSMUST00000066545.13,Shank3
13821,ENSMUST00000066554.12,Umodl1
13822,ENSMUST00000066558.3,Gm5142
13823,ENSMUST00000066559.5,Mcm8
13824,ENSMUST00000066560.12,Glb1l2
13825,ENSMUST00000066568.5,Fpgt
13826,ENSMUST00000066573.1,Aym1
13827,ENSMUST00000066576.11,L1cam
13828,ENSMUST00000066582.11,Srcap
13829,ENSMUST00000066583.1,Gm9925
13830,ENSMUST00000066587.11,Acox1
13831,ENSMUST00000066594.3,Sh2d4a
13832,ENSMUST00000066597.12,Klhl26
13833,ENSMUST00000066601.12,Hyou1
13834,ENSMUST00000066604.3,Kirrel3os
13835,ENSMUST00000066610.7,Fam212b
13836,ENSMUST00000066617.11,Zkscan1
13837,ENSMUST00000066632.13,Angel2
13838,ENSMUST00000066640.4,Nanp
13839,ENSMUST00000066646.11,Rcor2
13840,ENSMUST00000066650.11,Dbr1
13841,ENSMUST00000066652.6,Kidins220
13842,ENSMUST00000066658.12,Park2
13843,ENSMUST00000066668.13,Dnpep
13844,ENSMUST00000066674.7,Car8
13845,ENSMUST00000066675.9,Mtif3
13846,ENSMUST00000066677.9,Cyhr1
13847,ENSMUST00000066679.6,Shisa6
13848,ENSMUST00000066701.12,Ifi27
13849,ENSMUST00000066708.6,Dmp1
13850,ENSMUST00000066715.10,Zbtb48
13851,ENSMUST00000066717.11,Tcf4
13852,ENSMUST00000066719.5,Ang5
13853,ENSMUST00000066723.14,Lgals4
13854,ENSMUST00000066728.9,Pde5a
13855,ENSMUST00000066740.4,A730045E13Rik
13856,ENSMUST00000066742.4,Gm9930
13857,ENSMUST00000066743.10,Adnp2
13858,ENSMUST00000066747.13,Cd8a
13859,ENSMUST00000066748.9,Papd5
13860,ENSMUST00000066760.7,Senp3
13861,ENSMUST00000066773.8,Ppp2r3a
13862,ENSMUST00000066774.5,Tusc1
13863,ENSMUST00000066778.5,Pi4k2a
13864,ENSMUST00000066780.4,Mill1
13865,ENSMUST00000066791.6,Tmem179
13866,ENSMUST00000066794.8,Gm8935
13867,ENSMUST00000066804.4,Sirt5
13868,ENSMUST00000066807.7,Ercc6
13869,ENSMUST00000066814.6,Adam39
13870,ENSMUST00000066819.10,Tceal5
13871,ENSMUST00000066824.13,Sgip1
13872,ENSMUST00000066834.7,Klk13
13873,ENSMUST00000066849.12,Lef1
13874,ENSMUST00000066852.8,Ostn
13875,ENSMUST00000066854.13,Whsc1
13876,ENSMUST00000066859.12,Cfh
13877,ENSMUST00000066863.12,Pfkfb2
13878,ENSMUST00000066873.4,Pkp3
13879,ENSMUST00000066875.8,6030452D12Rik
13880,ENSMUST00000066880.5,Capn12
13881,ENSMUST00000066882.9,Pfn2
13882,ENSMUST00000066885.5,Skida1
13883,ENSMUST00000066888.9,Utp18
13884,ENSMUST00000066889.12,Gpsm1
13885,ENSMUST00000066890.13,Kcnn2
13886,ENSMUST00000066905.8,Chl1
13887,ENSMUST00000066912.12,Iigp1
13888,ENSMUST00000066921.9,Slc25a40
13889,ENSMUST00000066928.11,Phactr1
13890,ENSMUST00000066936.8,Gpsm1
13891,ENSMUST00000066940.7,Gtf2h2
13892,ENSMUST00000066949.8,Zdhhc25
13893,ENSMUST00000066954.1,E130116L18Rik
13894,ENSMUST00000066958.10,Gfra4
13895,ENSMUST00000066981.11,Umodl1
13896,ENSMUST00000066983.12,Abhd10
13897,ENSMUST00000066984.13,Gtf2h2
13898,ENSMUST00000066986.12,Zfp142
13899,ENSMUST00000066987.13,Galnt10
13900,ENSMUST00000066988.1,A430110L20Rik
13901,ENSMUST00000066991.6,Adm2
13902,ENSMUST00000066994.6,Zfp395
13903,ENSMUST00000066997.3,Olfr24
13904,ENSMUST00000066998.4,Vmn1r236
13905,ENSMUST00000067005.10,Syne3
13906,ENSMUST00000067007.7,Gm4894
13907,ENSMUST00000067020.2,Nkx2-4
13908,ENSMUST00000067033.7,Stk3
13909,ENSMUST00000067036.11,Bsg
13910,ENSMUST00000067043.4,Zbtb26
13911,ENSMUST00000067048.7,Dnah5
13912,ENSMUST00000067058.2,Pigw
13913,ENSMUST00000067060.8,Klf1
13914,ENSMUST00000067065.13,Sorbs2
13915,ENSMUST00000067072.4,Cthrc1
13916,ENSMUST00000067075.6,Nkx2-2
13917,ENSMUST00000067077.1,Gm9938
13918,ENSMUST00000067081.9,Cdk11b
13919,ENSMUST00000067082.13,Pde8b
13920,ENSMUST00000067085.6,Nepn
13921,ENSMUST00000067086.13,Esr1
13922,ENSMUST00000067087.6,Fam150b
13923,ENSMUST00000067098.7,Ffar4
13924,ENSMUST00000067101.9,Kcnj3
13925,ENSMUST00000067102.2,Sprr2k
13926,ENSMUST00000067103.3,Taf8
13927,ENSMUST00000067107.14,Sorbs2
13928,ENSMUST00000067120.13,Chrna4
13929,ENSMUST00000067124.5,Lpin1
13930,ENSMUST00000067136.6,1700082M22Rik
13931,ENSMUST00000067137.13,Tprkb
13932,ENSMUST00000067143.6,Olfr481
13933,ENSMUST00000067145.11,Fam220a
13934,ENSMUST00000067150.13,Fgfr3
13935,ENSMUST00000067161.5,Gm9939
13936,ENSMUST00000067167.5,Fra10ac1
13937,ENSMUST00000067168.8,Msi1
13938,ENSMUST00000067173.7,Tmem45a2
13939,ENSMUST00000067176.8,Gm5082
13940,ENSMUST00000067178.13,Vwa3b
13941,ENSMUST00000067190.11,Lifr
13942,ENSMUST00000067198.2,Serpinb9d
13943,ENSMUST00000067205.15,Kif21a
13944,ENSMUST00000067210.11,Zscan4d
13945,ENSMUST00000067215.8,Arfgap3
13946,ENSMUST00000067218.13,Parp3
13947,ENSMUST00000067219.4,Dach2
13948,ENSMUST00000067230.5,Sox4
13949,ENSMUST00000067232.9,Ctnnd1
13950,ENSMUST00000067240.10,Lck
13951,ENSMUST00000067246.5,Slc30a5
13952,ENSMUST00000067249.2,A630033H20Rik
13953,ENSMUST00000067252.13,Piezo1
13954,ENSMUST00000067258.8,Adra1b
13955,ENSMUST00000067268.14,Pxn
13956,ENSMUST00000067272.8,Eapp
13957,ENSMUST00000067277.3,D130007C19Rik
13958,ENSMUST00000067284.9,Cpsf3
13959,ENSMUST00000067288.14,Obox1
13960,ENSMUST00000067298.4,Mrps21
13961,ENSMUST00000067305.7,Lrrc36
13962,ENSMUST00000067307.10,Ccser1
13963,ENSMUST00000067318.5,Lce3a
13964,ENSMUST00000067327.10,Cdkn1b
13965,ENSMUST00000067328.6,Cyp2c67
13966,ENSMUST00000067354.9,8430408G22Rik
13967,ENSMUST00000067375.4,Bsx
13968,ENSMUST00000067384.5,Rhob
13969,ENSMUST00000067386.13,2310022A10Rik
13970,ENSMUST00000067387.8,BC055111
13971,ENSMUST00000067398.12,Mdm4
13972,ENSMUST00000067399.13,B3gntl1
13973,ENSMUST00000067404.12,Fgfr1op2
13974,ENSMUST00000067410.13,Dgkk
13975,ENSMUST00000067414.12,Nav1
13976,ENSMUST00000067417.9,Gata4
13977,ENSMUST00000067425.5,Zfp747
13978,ENSMUST00000067426.5,Cdkn3
13979,ENSMUST00000067429.9,Mdm4
13980,ENSMUST00000067443.9,Slfn5
13981,ENSMUST00000067444.9,Gfap
13982,ENSMUST00000067450.2,2700046A07Rik
13983,ENSMUST00000067458.6,Sema5a
13984,ENSMUST00000067467.12,Dnajc8
13985,ENSMUST00000067468.5,Gm4793
13986,ENSMUST00000067469.5,Tmem74
13987,ENSMUST00000067472.13,Rtbdn
13988,ENSMUST00000067476.8,Spcs3
13989,ENSMUST00000067479.5,Cyp3a44
13990,ENSMUST00000067481.5,Pigo
13991,ENSMUST00000067485.3,Slc30a7
13992,ENSMUST00000067491.13,Cadps
13993,ENSMUST00000067492.7,Fabp1
13994,ENSMUST00000067495.8,Wnt11
13995,ENSMUST00000067496.6,Atpif1
13996,ENSMUST00000067500.5,A930005H10Rik
13997,ENSMUST00000067503.3,Olfr450
13998,ENSMUST00000067505.14,Tmem120b
13999,ENSMUST00000067506.13,Gimap4
14000,ENSMUST00000067512.7,Smpd3
14001,ENSMUST00000067521.7,Zcchc7
14002,ENSMUST00000067523.1,Gm9945
14003,ENSMUST00000067529.8,Sytl5
14004,ENSMUST00000067530.5,Vapb
14005,ENSMUST00000067532.10,Ms4a7
14006,ENSMUST00000067538.5,Ptprs
14007,ENSMUST00000067539.3,Tas2r109
14008,ENSMUST00000067542.14,March7
14009,ENSMUST00000067543.7,Trib1
14010,ENSMUST00000067545.7,Lclat1
14011,ENSMUST00000067549.14,Zfp219
14012,ENSMUST00000067556.3,4930503L19Rik
14013,ENSMUST00000067563.8,Wdyhv1
14014,ENSMUST00000067567.4,Lypla2
14015,ENSMUST00000067572.12,Pqlc3
14016,ENSMUST00000067582.13,Tmem62
14017,ENSMUST00000067584.6,Znfx1
14018,ENSMUST00000067591.2,Sstr2
14019,ENSMUST00000067597.4,Tas2r130
14020,ENSMUST00000067599.1,Gm9947
14021,ENSMUST00000067602.4,Ncam2
14022,ENSMUST00000067618.4,Gm14461
14023,ENSMUST00000067620.11,Chdh
14024,ENSMUST00000067621.8,Nlrp4g
14025,ENSMUST00000067625.8,Glrp1
14026,ENSMUST00000067628.1,Atad3aos
14027,ENSMUST00000067630.12,Dram2
14028,ENSMUST00000067631.6,Slc35c1
14029,ENSMUST00000067632.3,Trim65
14030,ENSMUST00000067638.13,Sh3bp2
14031,ENSMUST00000067646.11,Ilf3
14032,ENSMUST00000067663.13,Psmc3
14033,ENSMUST00000067664.9,Ywhae
14034,ENSMUST00000067670.4,Olfr1500
14035,ENSMUST00000067673.12,Ms4a5
14036,ENSMUST00000067680.10,Adam12
14037,ENSMUST00000067689.8,Tnrc6b
14038,ENSMUST00000067692.12,Rad51c
14039,ENSMUST00000067695.7,Usp17la
14040,ENSMUST00000067700.12,Ccser2
14041,ENSMUST00000067705.7,Cfap54
14042,ENSMUST00000067715.4,Pabpc1l
14043,ENSMUST00000067741.9,Chn2
14044,ENSMUST00000067743.1,Gm9949
14045,ENSMUST00000067744.7,Cggbp1
14046,ENSMUST00000067752.4,Mettl7a1
14047,ENSMUST00000067754.10,Rab37
14048,ENSMUST00000067757.10,Pld1
14049,ENSMUST00000067760.10,Nadk2
14050,ENSMUST00000067763.9,Xlr
14051,ENSMUST00000067770.3,D730045B01Rik
14052,ENSMUST00000067778.7,Gcnt2
14053,ENSMUST00000067780.9,Myef2
14054,ENSMUST00000067782.7,Xlr
14055,ENSMUST00000067784.7,Cdh24
14056,ENSMUST00000067786.8,Slc20a2
14057,ENSMUST00000067790.6,Ugt2b5
14058,ENSMUST00000067795.12,Lcor
14059,ENSMUST00000067801.13,Cbs
14060,ENSMUST00000067821.12,Ercc6l2
14061,ENSMUST00000067826.14,Mta3
14062,ENSMUST00000067836.8,Ano9
14063,ENSMUST00000067837.9,Rnf6
14064,ENSMUST00000067840.6,Olfr63
14065,ENSMUST00000067841.7,Irs4
14066,ENSMUST00000067843.9,Hmbox1
14067,ENSMUST00000067853.5,Tmem119
14068,ENSMUST00000067854.9,1600014C10Rik
14069,ENSMUST00000067857.10,Aifm2
14070,ENSMUST00000067864.7,Srsf12
14071,ENSMUST00000067872.11,Slc2a9
14072,ENSMUST00000067880.12,Adam10
14073,ENSMUST00000067886.11,Slc2a9
14074,ENSMUST00000067888.13,Tpk1
14075,ENSMUST00000067896.3,Elovl1
14076,ENSMUST00000067902.12,Pigv
14077,ENSMUST00000067908.13,Rhobtb1
14078,ENSMUST00000067912.7,Klf2
14079,ENSMUST00000067916.12,Plcd4
14080,ENSMUST00000067917.3,Gm9954
14081,ENSMUST00000067918.11,Ppm1h
14082,ENSMUST00000067924.12,Lrrc8c
14083,ENSMUST00000067925.7,Hmgb2
14084,ENSMUST00000067927.8,Msra
14085,ENSMUST00000067929.14,Far1
14086,ENSMUST00000067931.6,Vmac
14087,ENSMUST00000067935.10,Vps37d
14088,ENSMUST00000067936.5,Arhgdia
14089,ENSMUST00000067940.2,1700013H16Rik
14090,ENSMUST00000067947.6,Rock1
14091,ENSMUST00000067955.11,Dph3
14092,ENSMUST00000067975.11,Naip2
14093,ENSMUST00000067976.8,Ppp2r5a
14094,ENSMUST00000067978.5,Krtap5-2
14095,ENSMUST00000067980.11,Amy1
14096,ENSMUST00000067984.8,Mtnr1a
14097,ENSMUST00000067987.1,Gm9955
14098,ENSMUST00000067990.7,Defb42
14099,ENSMUST00000067996.6,Set
14100,ENSMUST00000067997.10,Lcorl
14101,ENSMUST00000068000.9,Kctd18
14102,ENSMUST00000068004.12,Pcx
14103,ENSMUST00000068006.8,Mocos
14104,ENSMUST00000068021.8,Pecam1
14105,ENSMUST00000068023.7,Cadm4
14106,ENSMUST00000068025.12,Klhl18
14107,ENSMUST00000068031.7,Top2a
14108,ENSMUST00000068036.1,Htr6
14109,ENSMUST00000068044.13,Slc39a14
14110,ENSMUST00000068045.13,Actn4
14111,ENSMUST00000068054.8,Stambp
14112,ENSMUST00000068056.11,Ddx39b
14113,ENSMUST00000068058.13,Usp46
14114,ENSMUST00000068063.3,Tgtp1
14115,ENSMUST00000068068.4,1700041G16Rik
14116,ENSMUST00000068071.11,Elp6
14117,ENSMUST00000068079.13,Zfp560
14118,ENSMUST00000068088.7,Fam19a5
14119,ENSMUST00000068094.12,Cyp2c50
14120,ENSMUST00000068106.4,6330419J24Rik
14121,ENSMUST00000068110.9,Pcdh7
14122,ENSMUST00000068116.12,Lrrfip1
14123,ENSMUST00000068125.10,Aptx
14124,ENSMUST00000068133.9,Rara
14125,ENSMUST00000068135.12,Adamts8
14126,ENSMUST00000068137.10,Bcas1
14127,ENSMUST00000068140.5,Tmem158
14128,ENSMUST00000068143.8,Gm29344
14129,ENSMUST00000068150.6,Adam11
14130,ENSMUST00000068156.7,Vps13a
14131,ENSMUST00000068158.9,4930578G10Rik
14132,ENSMUST00000068163.1,Olfr1535
14133,ENSMUST00000068167.12,Lrrfip1
14134,ENSMUST00000068168.9,Kansl1l
14135,ENSMUST00000068169.11,Pcnxl3
14136,ENSMUST00000068175.5,Arhgef33
14137,ENSMUST00000068182.2,Stfa3
14138,ENSMUST00000068194.4,4931415C17Rik
14139,ENSMUST00000068214.10,Astn2
14140,ENSMUST00000068225.14,Nusap1
14141,ENSMUST00000068233.10,Kcnmb4
14142,ENSMUST00000068235.5,Nkapl
14143,ENSMUST00000068237.11,Mlxip
14144,ENSMUST00000068240.12,Klhdc10
14145,ENSMUST00000068242.8,Rimklb
14146,ENSMUST00000068243.10,Fam73a
14147,ENSMUST00000068250.3,Gm9958
14148,ENSMUST00000068258.2,9130008F23Rik
14149,ENSMUST00000068259.9,Klhdc10
14150,ENSMUST00000068261.8,Atp6v1g2
14151,ENSMUST00000068262.5,Nt5c1a
14152,ENSMUST00000068264.13,Meis1
14153,ENSMUST00000068271.4,Ak1
14154,ENSMUST00000068275.11,Nyap2
14155,ENSMUST00000068277.5,Gm9959
14156,ENSMUST00000068282.6,Atl2
14157,ENSMUST00000068286.11,Irak1
14158,ENSMUST00000068291.6,H2-Q10
14159,ENSMUST00000068293.3,Smco3
14160,ENSMUST00000068296.7,Zfp266
14161,ENSMUST00000068301.10,Cept1
14162,ENSMUST00000068302.3,Tas2r117
14163,ENSMUST00000068304.12,Ncoa2
14164,ENSMUST00000068307.3,Kbtbd13
14165,ENSMUST00000068316.7,Agtr1b
14166,ENSMUST00000068317.12,Cyp3a25
14167,ENSMUST00000068322.6,Sec14l3
14168,ENSMUST00000068326.13,Slc8b1
14169,ENSMUST00000068333.13,Farsb
14170,ENSMUST00000068340.2,AV320801
14171,ENSMUST00000068351.13,Lrtm2
14172,ENSMUST00000068355.7,Opn5
14173,ENSMUST00000068360.1,A830031A19Rik
14174,ENSMUST00000068367.13,Dis3l
14175,ENSMUST00000068378.5,Cntn1
14176,ENSMUST00000068387.10,Ep300
14177,ENSMUST00000068388.14,Terf2
14178,ENSMUST00000068394.6,Gabrg3
14179,ENSMUST00000068397.5,Gm9961
14180,ENSMUST00000068399.1,Sprr2e
14181,ENSMUST00000068403.3,Olfr420
14182,ENSMUST00000068407.5,Commd5
14183,ENSMUST00000068408.13,Rps15
14184,ENSMUST00000068411.4,Ccdc88c
14185,ENSMUST00000068415.10,Zeb2
14186,ENSMUST00000068421.12,Terf2
14187,ENSMUST00000068423.9,Cbln2
14188,ENSMUST00000068437.12,Smyd3
14189,ENSMUST00000068439.12,Pdlim1
14190,ENSMUST00000068448.2,Gm9964
14191,ENSMUST00000068449.3,Rab39
14192,ENSMUST00000068451.11,Tbx22
14193,ENSMUST00000068452.9,Cnot1
14194,ENSMUST00000068456.7,Gabra5
14195,ENSMUST00000068457.14,Pphln1
14196,ENSMUST00000068473.3,Spink6
14197,ENSMUST00000068475.4,Olfr354
14198,ENSMUST00000068484.15,Sik2
14199,ENSMUST00000068487.11,Rad18
14200,ENSMUST00000068505.9,Capn2
14201,ENSMUST00000068507.1,A630012P03Rik
14202,ENSMUST00000068508.12,Spsb3
14203,ENSMUST00000068513.10,Accs
14204,ENSMUST00000068515.7,Anxa13
14205,ENSMUST00000068519.6,4933426M11Rik
14206,ENSMUST00000068526.6,M5C1000I18Rik
14207,ENSMUST00000068531.4,Olfr623
14208,ENSMUST00000068532.9,Cgrrf1
14209,ENSMUST00000068545.5,Sugct
14210,ENSMUST00000068548.4,9130017K11Rik
14211,ENSMUST00000068551.8,Xlr4c
14212,ENSMUST00000068563.11,Acox3
14213,ENSMUST00000068564.14,Rassf5
14214,ENSMUST00000068567.4,Ncoa7
14215,ENSMUST00000068569.4,Bcl2a1b
14216,ENSMUST00000068580.3,Dcpp1
14217,ENSMUST00000068581.8,Gja1
14218,ENSMUST00000068584.6,Cd48
14219,ENSMUST00000068586.12,Gyltl1b
14220,ENSMUST00000068592.4,Ifng
14221,ENSMUST00000068593.8,C1ra
14222,ENSMUST00000068595.5,Galnt13
14223,ENSMUST00000068603.7,Iqgap2
14224,ENSMUST00000068613.4,Fam72a
14225,ENSMUST00000068617.11,Wbscr27
14226,ENSMUST00000068625.4,Klk15
14227,ENSMUST00000068631.3,Fev
14228,ENSMUST00000068641.7,Sertad3
14229,ENSMUST00000068654.4,Foxd2
14230,ENSMUST00000068663.3,9430025C20Rik
14231,ENSMUST00000068664.6,Neo1
14232,ENSMUST00000068681.11,Ngef
14233,ENSMUST00000068686.12,Calcoco2
14234,ENSMUST00000068690.6,Chst3
14235,ENSMUST00000068693.11,Wdr86
14236,ENSMUST00000068697.10,Kcmf1
14237,ENSMUST00000068698.14,Mobp
14238,ENSMUST00000068700.6,Wdr6
14239,ENSMUST00000068702.13,Phf21a
14240,ENSMUST00000068704.11,Mir99ahg
14241,ENSMUST00000068705.12,Mpzl1
14242,ENSMUST00000068714.6,Sos1
14243,ENSMUST00000068725.9,Marc2
14244,ENSMUST00000068726.12,Celf1
14245,ENSMUST00000068730.3,Gm11149
14246,ENSMUST00000068747.13,Celf1
14247,ENSMUST00000068755.13,Bhlhb9
14248,ENSMUST00000068767.9,Nlrp4a
14249,ENSMUST00000068791.10,Eif2d
14250,ENSMUST00000068792.12,Tmem245
14251,ENSMUST00000068795.3,Mrfap1
14252,ENSMUST00000068797.2,C1s2
14253,ENSMUST00000068798.12,4933434E20Rik
14254,ENSMUST00000068805.13,Eif2d
14255,ENSMUST00000068813.2,Them7
14256,ENSMUST00000068822.3,Zfp37
14257,ENSMUST00000068825.7,Nub1
14258,ENSMUST00000068829.12,Nox4
14259,ENSMUST00000068830.3,Cnr2
14260,ENSMUST00000068836.4,Gm9967
14261,ENSMUST00000068851.5,Skint10
14262,ENSMUST00000068853.12,Fat2
14263,ENSMUST00000068856.4,Snupn
14264,ENSMUST00000068860.12,Epha6
14265,ENSMUST00000068861.7,Cyp2d12
14266,ENSMUST00000068865.11,Lair1
14267,ENSMUST00000068874.7,4933400A11Rik
14268,ENSMUST00000068875.4,Apobec4
14269,ENSMUST00000068877.6,Timd4
14270,ENSMUST00000068878.13,Ly9
14271,ENSMUST00000068879.10,Rsbn1
14272,ENSMUST00000068880.13,Paqr8
14273,ENSMUST00000068891.11,Rnf144b
14274,ENSMUST00000068892.14,Ash2l
14275,ENSMUST00000068894.1,4933400A11Rik
14276,ENSMUST00000068904.8,Krt7
14277,ENSMUST00000068911.12,Gabrg3
14278,ENSMUST00000068916.15,Ppapdc1b
14279,ENSMUST00000068933.11,Gjc1
14280,ENSMUST00000068938.6,Prrxl1
14281,ENSMUST00000068944.8,Plekho2
14282,ENSMUST00000068946.7,Rnf212
14283,ENSMUST00000068947.13,Acox3
14284,ENSMUST00000068952.9,Wls
14285,ENSMUST00000068958.8,Cdc42ep3
14286,ENSMUST00000068962.13,Rbms3
14287,ENSMUST00000068967.10,Megf11
14288,ENSMUST00000068968.11,4933427D06Rik
14289,ENSMUST00000068973.10,Map6
14290,ENSMUST00000068975.5,Zfp180
14291,ENSMUST00000068980.3,Asb7
14292,ENSMUST00000068981.12,Itgb4
14293,ENSMUST00000068987.6,Fam136b-ps
14294,ENSMUST00000068992.7,Pcdh9
14295,ENSMUST00000068994.13,Rtkn2
14296,ENSMUST00000068996.12,9430038I01Rik
14297,ENSMUST00000068997.3,Gm9970
14298,ENSMUST00000068999.13,Micu3
14299,ENSMUST00000069000.8,Parp16
14300,ENSMUST00000069004.13,Dcbld1
14301,ENSMUST00000069005.9,Fam49a
14302,ENSMUST00000069009.6,Maf
14303,ENSMUST00000069011.8,Ang
14304,ENSMUST00000069023.3,Fam115e
14305,ENSMUST00000069025.13,Srsf11
14306,ENSMUST00000069035.5,A630091E08Rik
14307,ENSMUST00000069036.13,Manf
14308,ENSMUST00000069041.14,Ap1s2
14309,ENSMUST00000069044.6,Gm7353
14310,ENSMUST00000069051.1,Gm9972
14311,ENSMUST00000069057.12,Myo1c
14312,ENSMUST00000069063.4,Olfr779
14313,ENSMUST00000069064.6,Ydjc
14314,ENSMUST00000069066.13,Fam49a
14315,ENSMUST00000069074.13,Cadps2
14316,ENSMUST00000069077.9,Xlr4b
14317,ENSMUST00000069095.11,Rbms3
14318,ENSMUST00000069097.12,Ago3
14319,ENSMUST00000069098.6,Soga1
14320,ENSMUST00000069103.10,Xlr4b
14321,ENSMUST00000069106.4,Epm2a
14322,ENSMUST00000069107.13,Mapk1
14323,ENSMUST00000069125.7,Fam26e
14324,ENSMUST00000069128.7,Rbm12b1
14325,ENSMUST00000069142.11,Akr1cl
14326,ENSMUST00000069148.12,Chodl
14327,ENSMUST00000069168.12,Cpsf6
14328,ENSMUST00000069174.5,Trim23
14329,ENSMUST00000069180.7,Zcchc24
14330,ENSMUST00000069183.7,Gucy2g
14331,ENSMUST00000069184.8,N28178
14332,ENSMUST00000069187.11,Trim23
14333,ENSMUST00000069188.6,Kansl1
14334,ENSMUST00000069195.4,Zfp46
14335,ENSMUST00000069209.1,4930502E18Rik
14336,ENSMUST00000069215.12,Nol4
14337,ENSMUST00000069218.4,Mbd3l1
14338,ENSMUST00000069221.11,Syncrip
14339,ENSMUST00000069226.6,Scara5
14340,ENSMUST00000069236.3,Olfr305
14341,ENSMUST00000069245.7,Spink5
14342,ENSMUST00000069250.13,Zfp57
14343,ENSMUST00000069256.11,Tead1
14344,ENSMUST00000069259.8,Iqcd
14345,ENSMUST00000069268.2,Tas2r102
14346,ENSMUST00000069271.4,Dmrtb1
14347,ENSMUST00000069279.4,Olfr307
14348,ENSMUST00000069281.7,Bfar
14349,ENSMUST00000069284.13,Fgd4
14350,ENSMUST00000069285.5,Stx3
14351,ENSMUST00000069289.14,Mzf1
14352,ENSMUST00000069292.13,Zfp248
14353,ENSMUST00000069293.9,Dnah7b
14354,ENSMUST00000069298.12,Hps1
14355,ENSMUST00000069304.13,Hnrnph1
14356,ENSMUST00000069309.13,Uty
14357,ENSMUST00000069311.4,Wdr66
14358,ENSMUST00000069324.6,Zfp580
14359,ENSMUST00000069325.13,Dnaic2
14360,ENSMUST00000069330.13,Acp5
14361,ENSMUST00000069333.7,Cflar
14362,ENSMUST00000069334.7,Dach1
14363,ENSMUST00000069342.1,Olfr965
14364,ENSMUST00000069343.11,Rbfox3
14365,ENSMUST00000069345.5,Itgb5
14366,ENSMUST00000069360.13,Gpc3
14367,ENSMUST00000069372.6,E030030I06Rik
14368,ENSMUST00000069385.14,Dbndd2
14369,ENSMUST00000069395.6,Zzef1
14370,ENSMUST00000069399.6,Kbtbd11
14371,ENSMUST00000069408.9,Folr4
14372,ENSMUST00000069417.5,Gja6
14373,ENSMUST00000069419.7,Ccdc172
14374,ENSMUST00000069423.12,Mdk
14375,ENSMUST00000069430.14,Ctage5
14376,ENSMUST00000069431.4,Gm9978
14377,ENSMUST00000069443.13,Slain1
14378,ENSMUST00000069449.6,Rras2
14379,ENSMUST00000069451.10,Ghr
14380,ENSMUST00000069453.8,Paqr3
14381,ENSMUST00000069456.10,Ncor1
14382,ENSMUST00000069457.1,Gm9979
14383,ENSMUST00000069476.4,Ldoc1l
14384,ENSMUST00000069477.7,Magea2
14385,ENSMUST00000069483.11,Fbrsl1
14386,ENSMUST00000069486.12,Gemin6
14387,ENSMUST00000069489.9,Gm6910
14388,ENSMUST00000069503.12,Tubd1
14389,ENSMUST00000069507.8,C4b
14390,ENSMUST00000069509.3,Usp26
14391,ENSMUST00000069511.7,Abcd2
14392,ENSMUST00000069520.10,Syp
14393,ENSMUST00000069529.2,Gm7936
